"#","Subject Code","Description","Grade","Re Ex","Units"
"1.","","FIRST SEMESTER S.Y. 2025-2026","","",""
"2.","CCS 4101","Modeling and Simulation","1.25","","3"
"3.","CCS 4102","Programming Languages","1.00","","3"
"4.","CCS 4307","Mobile and Web Development","1.00","","3"
"5.","CCS 4990","Thesis Writing 2 for CS","1.00","","3"
"6.","CNA 1101","Numerical Analysis for ITE","1.00","","3"
"7.","ZGE 1107","Science, Technology, and Society","1.00","","3"
"8.","ZGE 1109","Life and Works of Rizal","1.25","","3"
"9.","","SUMMER 2025","","",""
"10.","CCS 4970","Practicum for CS","1.00","","3"
"11.","","SECOND SEMESTER S.Y. 2024-2025","","",""
"12.","CCS 3201","Artificial Intelligence","1.00","","3"
"13.","CCS 3202","Automata Theory and Formal Languages","1.00","","3"
"14.","CCS 4309","System Fundamentals","1.00","","3"
"15.","CCS 4980","Thesis Writing 1 for CS","1.00","","3"
"16.","CDE 1101","Applications Development and Emerging Technologies","1.00","","3"
"17.","ZGE 4304","Living in the IT Era","1.50","","3"
"18.","ZPD 1102","Effective Communication with Personality Development","1.50","","3"
"19.","","FIRST SEMESTER S.Y. 2024-2025","","",""
"20.","APC 3101","Physics for CS (with Electromagnetism)","1.25","","4"
"21.","CCS 3101","Algorithm and Complexity","1.00","","3"
"22.","CCS 3102","Methods of Research for CS","1.00","","3"
"23.","CCS 3103","Networks and Communications","1.00","","3"
"24.","CCS 3104","Software Engineering 2","1.00","","3"
"25.","CDT 1101","Data Analytics","1.25","","3"
"26.","CMS 1101","Multimedia Systems","1.00","","3"
"27.","","SECOND SEMESTER S.Y. 2023-2024","","",""
"28.","CCS 2201","Architecture and Organization","1.00","","3"
"29.","CCS 2202","Discrete Structures 2","1.00","","3"
"30.","CCS 2203","Operating Systems","1.00","","3"
"31.","CCS 2204","Statistics for CS","1.00","","3"
"32.","CIA 1101","Information Assurance and Security 1","1.00","","3"
"33.","CIP 1101","Integrative Programming and Technologies 1","1.00","","3"
"34.","CSE 1101","Software Engineering 1","1.00","","3"
"35.","PPF 2315","Table Tennis","2.00","","2"
"36.","","FIRST SEMESTER S.Y. 2023-2024","","",""
"37.","CCS 2101","Discrete Structures 1","1.00","","3"
"38.","CCS 2102","Object-Oriented Programming","1.00","","3"
"39.","CDS 1101","Data Structures and Algorithms","1.00","","3"
"40.","CHC 1101","Human Computer Interaction","1.00","","3"
"41.","CIM 1101","Information Management","1.00","","3"
"42.","CMA 1102","Analysis 2 for CS","1.00","","3"
"43.","PPF 2310","Badminton","1.75","","2"
"44.","ZGE 1102","The Contemporary World","1.00","","3"
"45.","","SECOND SEMESTER S.Y. 2022-2023","","",""
"46.","CCS 1201","Intermediate Programming","1.00","","3"
"47.","CMA 1101","Analysis 1 for CS","1.00","","3"
"48.","CSP 1101","Social and Professional Issues in Computing","1.25","","3"
"49.","STC 1102","NSTP 2: Civic Welfare Training Service","1.00","","3"
"50.","ZGE 1105","Purposive Communication","1.00","","3"
"51.","ZGE 1106","Readings in Philippine History","1.25","","3"
"52.","ZGE 1108","Understanding the Self","1.00","","3"
"53.","PEN 4310","Social Recreation","1.00","","2"
"54.","","FIRST SEMESTER S.Y. 2022-2023","","",""
"55.","CCS 1101","Fundamentals of Programming","1.00","","3"
"56.","CIC 1101","Introduction to Computing","1.00","","3"
"57.","STC 1101","NSTP 1: Civic Welfare Training Service","1.00","","3"
"58.","ZGE 1101","Art Appreciation","1.00","","3"
"59.","ZGE 1103","Ethics","1.00","","3"
"60.","ZGE 1104","Mathematics in the Modern World","1.00","","3"
"61.","PEN 4306","Physical Fitness","1.25","","2"
